replication,alpha,pred_scale_x1,pred_scale_x2,pred_x2_share,pred_regret,pred_bandwidth,dec_scale_x1,dec_scale_x2,dec_x2_share,dec_regret,dec_bandwidth
12,0.95,9.47240548466808,0.10556980501083783,0.011022142135258824,0.2336974890387105,0.6002044413592671,1.2798681436337096,0.7813304870303842,0.3790660809718512,0.1091391510097072,0.5868903347815594
12,0.99,9.47240548466808,0.10556980501083783,0.011022142135258824,0.19558657669277457,6.002044413592671,0.7996525194281248,1.25054317432171,0.609962833369555,0.11790301735900258,0.8327369179448938
13,0.5,30.443756291393406,0.032847457798192405,0.0010777925935747908,0.02850950649629691,1.7452711661350067,20.44902104967723,0.048902096465678196,0.0023857098164054777,0.0201953185088386,0.8181920980933726
13,0.7,30.443756291393406,0.032847457798192405,0.0010777925935747908,0.07301840974944185,0.997297809220004,15.077897560236359,0.06632224393387669,0.004379376738550351,0.06581951847071599,0.7042402339725028
13,0.85,30.443756291393406,0.032847457798192405,0.0010777925935747908,0.16416103017767175,0.997297809220004,11.496766632667445,0.08698097751750077,0.007508880583777846,0.13853042358951345,0.6167591113973799
13,0.9,30.443756291393406,0.032847457798192405,0.0010777925935747908,0.1895572223455526,0.997297809220004,2.667629057348545,0.3748647126350982,0.12320968947690353,0.07896020924052077,0.34995572542352477
13,0.95,30.443756291393406,0.032847457798192405,0.0010777925935747908,0.20137191140167188,0.997297809220004,0.80330743470547,1.2448534107824445,0.6077908449059793,0.09972797922358378,0.3264366733739623
13,0.99,30.443756291393406,0.032847457798192405,0.0010777925935747908,0.11082209362884267,4.9864890461000195,0.5116382056848806,1.9545061117189177,0.7925351723845987,0.06801519498608723,0.5947103816793021
14,0.5,8.254534243598405,0.12114553898368344,0.014463964971012324,0.01213471064563032,0.56120203291766,15.459816292951425,0.06468382166067062,0.0041665638946911015,0.010912945528658291,0.7591645023681588
14,0.7,8.254534243598405,0.12114553898368344,0.014463964971012324,0.03998839445411939,0.56120203291766,21.450655509765845,0.04661862195981516,0.0021685829409885705,0.059572645812117964,0.8923104126542452
14,0.85,8.254534243598405,0.12114553898368344,0.014463964971012324,0.10120289775009633,0.56120203291766,4.034098488138517,0.24788685822626924,0.057890636743237356,0.06438751535865023,0.41629987963807547
14,0.9,8.254534243598405,0.12114553898368344,0.014463964971012324,0.1312934105609765,0.56120203291766,5.233633194239012,0.19107185446254868,0.035222533344607,0.10257988464290707,0.45806110341459894
14,0.95,8.254534243598405,0.12114553898368344,0.014463964971012324,0.18159166039690997,0.56120203291766,3.31774881094114,0.30140919550697737,0.08328157957457728,0.1233186843128872,0.39103007504366144
14,0.99,8.254534243598405,0.12114553898368344,0.014463964971012324,0.15418496017432454,1.40300508229415,0.534798026780976,1.8698647899266567,0.7775995773439871,0.07368006365341774,0.5953981848670539
15,0.5,9.99222166526702,0.10007784389691854,0.00991625781676877,0.030775516246234758,0.5891670505217148,9.571572307116645,0.10447604300669401,0.010797387448499292,0.030977543905637672,0.5769706906398945
15,0.7,9.99222166526702,0.10007784389691854,0.00991625781676877,0.1066130112758591,0.5891670505217148,8.204813849294505,0.12187966946818489,0.014637222949728029,0.09867743829091835,0.5365445634681243
15,0.85,9.99222166526702,0.10007784389691854,0.00991625781676877,0.18210075532581987,0.5891670505217148,11.904380204399589,0.08400269336411338,0.007007007874246588,0.19410602151783957,0.6410162887820671
15,0.9,9.99222166526702,0.10007784389691854,0.00991625781676877,0.1979079094822534,0.5891670505217148,5.245575741776122,0.1906368431659335,0.035067952216214796,0.14975101856637046,0.4406448037327797
15,0.95,9.99222166526702,0.10007784389691854,0.00991625781676877,0.23271535604867094,2.20937643945643,3.147551141183115,0.31770730804523656,0.09168358224939444,0.18115432182306362,0.920400287921114
15,0.99,9.99222166526702,0.10007784389691854,0.00991625781676877,0.1313744365206595,5.891670505217148,0.7976218592152458,1.2537269239133786,0.6111719928978879,0.09211083986714645,0.567461175681963
16,0.5,19.057189406519207,0.05247363494524088,0.002745921517892951,0.045207681007876976,1.408323022862411,18.723232418231348,0.053409581084208055,0.0028444692659185247,0.045191087316747036,1.3961404196811988
16,0.7,19.057189406519207,0.05247363494524088,0.002745921517892951,0.10436701024379935,1.408323022862411,19.408900128033608,0.05152275468487941,0.0026475660367397953,0.10441444137558542,1.4212248650054564
16,0.85,19.057189406519207,0.05247363494524088,0.002745921517892951,0.19074092779751245,1.408323022862411,6.0619225164782,0.16496416727229476,0.02649223852150394,0.17039441135862637,0.8188505167552098
16,0.9,19.057189406519207,0.05247363494524088,0.002745921517892951,0.2519247743837299,3.017835048990881,0.8809099675837865,1.1351897887395472,0.5630623113658519,0.12246143651601782,0.5764355696715378
16,0.95,19.057189406519207,0.05247363494524088,0.002745921517892951,0.23384508537352175,3.017835048990881,0.4518576315408735,2.2130864462550157,0.8304438598521761,0.10824486065319719,0.3548367469493672
16,0.99,19.057189406519207,0.05247363494524088,0.002745921517892951,0.17287553501264888,0.8047560130642349,0.348959116570239,2.8656652098060826,0.8914463771996641,0.06351393645555922,0.3729082114357336
17,0.5,15.131024869652355,0.06608937653692298,0.004348810929910268,0.018208059931268727,0.7269670459865735,17.86971035690815,0.05596061603838003,0.003121814303232272,0.018128110342475967,0.7890086977071622
17,0.7,15.131024869652355,0.06608937653692298,0.004348810929910268,0.07928328091741854,0.7269670459865735,13.270227805103698,0.07535665662162948,0.005646560990846804,0.07650637452428821,0.6813335369898751
17,0.85,15.131024869652355,0.06608937653692298,0.004348810929910268,0.18367440503074828,0.7269670459865735,3.7776534833010453,0.2647145918545618,0.06548502930287264,0.08799204332260158,0.3921230975791923
17,0.9,15.131024869652355,0.06608937653692298,0.004348810929910268,0.2230962338664889,0.7269670459865735,2.0396816286594746,0.4902725925208353,0.19378713986852555,0.10543181593779011,0.3411228433330069
17,0.95,15.131024869652355,0.06608937653692298,0.004348810929910268,0.23604163619312574,1.8174176149664336,0.6320981126734453,1.582032883740978,0.7145163887335173,0.08161815385422011,0.33759333049278273
17,0.99,15.131024869652355,0.06608937653692298,0.004348810929910268,0.1656415641975266,0.7269670459865735,0.9654464079442465,1.0357902746039833,0.5175750992556677,0.05960957753555582,0.8210477315196065
18,0.5,0.23262372491313246,4.298787668254496,0.9486641788331385,0.3726321629973277,0.4372733193705523,21.394928502934235,0.04674004869251392,0.0021798699378257026,0.020362184698913155,0.8869468808175247
18,0.7,0.23262372491313246,4.298787668254496,0.9486641788331385,0.3788103292168349,0.4372733193705523,12.137214559914199,0.08239122700382326,0.006742543780915508,0.06417041378430932,0.6714262734592134
18,0.85,0.23262372491313246,4.298787668254496,0.9486641788331385,0.3886203258653969,0.7652283088984665,2.191469133912378,0.45631489146950616,0.17233841094863953,0.0673552565338244,0.35827795214506136
18,0.9,0.23262372491313246,4.298787668254496,0.9486641788331385,0.30747963822033597,0.7652283088984665,1.789692764944432,0.5587551224363632,0.23792528053902792,0.0670757714283533,0.3494185969582851
18,0.95,0.23262372491313246,4.298787668254496,0.9486641788331385,0.18913996202252303,0.4372733193705523,0.6028368964495144,1.6588234825864656,0.7334538368194475,0.09782776498600526,0.6139902545542978
18,0.99,0.23262372491313246,4.298787668254496,0.9486641788331385,0.07280562459441889,0.7652283088984665,1.0494421838029793,0.9528871770488487,0.4758893295374108,0.04643738134280633,0.5962498785323597
19,0.5,3.7171535884662865,0.26902305116012276,0.06748899396122497,0.019976219847448018,0.4027892910963214,21.10855824421558,0.04737414978467475,0.0022392844192539534,0.014396029353936468,0.8782372313578268
19,0.7,3.7171535884662865,0.26902305116012276,0.06748899396122497,0.06038832018076834,0.4027892910963214,13.696725065202054,0.07301015353959345,0.005302219133467514,0.12131919072516528,0.7101018967364702
19,0.85,3.7171535884662865,0.26902305116012276,0.06748899396122497,0.12658654198395058,0.4027892910963214,5.720244939898108,0.1748176888414524,0.029654933263843993,0.1516670580046693,0.4724897162951809
19,0.9,3.7171535884662865,0.26902305116012276,0.06748899396122497,0.13281570315322921,0.4027892910963214,2.0278197128196283,0.4931404866409585,0.19561613338698342,0.1670862990322719,0.6184994921581567
19,0.95,3.7171535884662865,0.26902305116012276,0.06748899396122497,0.155485151520596,0.4027892910963214,3.1813789499654885,0.3143291056259889,0.08991858033545198,0.2004212668663541,0.6749779234498218
19,0.99,3.7171535884662865,0.26902305116012276,0.06748899396122497,0.13583845368433944,0.7048812594185624,0.5544386322760332,1.8036261216049962,0.7648755695264482,0.11671374310819324,0.6211447864553241
